Africa;Aafrika
Food as fuel;toit kui kütus
Nutrition and digestion - generally;Toitumine ja seedimine - üldiselt
Toxin;toksiin
Dust;tolm
Work and power;töö ja võimsus
Industrial devices;tööstuslikud seaded
Transport (air, water and ground);transport (õhk, vesi ja maa)
Transport and water in plants;transport ja taimedes olev vesi
Dark energy;tumeaine
Nuclear fusion;tuumade süntees
Nuclear energy ;tuumaenergia
Nuclear physics;tuumafüüsika
Nuclear power plant ;tuumajaam
Nuclear force;tuumajõud
Nuclear decay;tuumalagunemine
Nuclear fission;tuumalõhustumine
Nucleosynthesis;tuumasüntees
Nebula;udukogu
Unification ;ühendamine
Compounds - generally;ühendid – üldiselt
Patterns in general;üldised mustrid
Processes in general;üldised protsessid
Displacement reactions;ülemineku reaktsioonid
Ultrasound;ultraheli
Ultraviolet;ultraviolett
Universal law of gravitation;universaalne gravitatsiooniseadus
Universe – generally;universum – üldiselt
Origin and evolution of the universe;universumi päritolu ja evolutsioon
Explorer;uurija
Free electron lasers;vabade elektronide laserid
Less economically developed countries;vähem ökonoomiliselt arenenud riigid
Light;Valgus
Light sources;valgusallikad
Properties of light - generally;valguse seaded – üldiselt 
Extinction;väljasuremine
Variation, inheritance and evolution;Variatsioonid, pärilikkus ja evolutsioon
Eclipses;varjutused
Colour;värv
Conflicting demands on environments;vastuolulised vajadused keskkonna teemal
Water cycle;veering
Water cycle;veetsükkel
Watercourse;veevool
Watercourse ;veevool
Circulatory System;vereringesüsteem
Blood vessels;veresooned
Blood;veri
Vertical throw;vertikaalne vise
Water;vesi
Water ;vesi
Water, landscapes & people - general information;vesi, maastik ja inimesed – üldine informatsioon
Reference Frame;viitamise raam
Reproductive system;viljakussüsteem
Fertilisation;viljastamine
Aurora;virmalised
Vision;visioon
Oscillations;võnge
Circuits - generally;Vooluring – üldiselt
Components in circuits: batteries, etc;vooluringi osad: patareid jm
Series circuits;vooluringide seeriad
Equations and formulae;võrrandid ja valemid
Volcano ;vulkaan
Volcanoes;vulkaanid
Zoology ;zooloogia

