Awareness-raising activities;Tietoisuutta lisäävät toimenpiteet
Information system;Tietojärjestelmä
Entering data;Tietojen syöttö
Computer science;Tietojenkäsittelytiede
Creating database;Tietokannan luonti
Databases;Tietokannat
Database stucture;Tietokantarakenne
Database terminology & definitions;Tietokantatermejä & -määritelmiä
Databases management;Tietokantojen hallinta
Computer architecture;Tietokonearkkitehtuuri
Computer-assisted-instruction (CAI software);Tietokoneavusteinen opetus (CAI-ohjelmisto)
Computer addition;Tietokoneen lisälaitteet
Connecting computer parts;Tietokoneen osien kytkeminen
Basic computer usage and possibilities;Tietokoneen peruskäyttö ja mahdollisuudet 
Computer functional scheme;Tietokoneen toimintakaavio
Building computers & networks;Tietokoneiden & verkkojen rakennus
Basic computer concepts;Tietokoneiden peruskäsitteet
Computer literacy;Tietokonelukutaito
Computer game;Tietokonepeli
Computer application;Tietokonesovellus
Information source;Tietolähde
Data protection act;Tietosuojalaki
Recognising issues of risk, safety and responsibility surrounding the use of ICT;Tietotekniikan käyttöön liittyvien riskien, turvallisuuden ja vastuullisuuden tunnistaminen
Using IT safely;Tietotekniikan tuvallinen käyttö
Impact of IT on communications;Tietotekniikan vaikutus viestintään
Data Security;Tietoturvallisuus
Information Security Guidelines/Policy/Plan/Risk Assessment;Tietoturvallisuusohjeet/-politiikka/-suunnitelma/-riskiarvio
Security Breach/Incident;Tietoturvamurto/tapahtuma
Information network;Tietoverkko
Plausibility;Todennäköisyys
Functional skills;Toiminnalliset taidot
Trojan;Troijalaiset
Future developments;Tuleva kehitys
Printout;Tuloste
Output;Tulostus
Recognising that information must be analysed and evaluated for its purpose, author, currency and context;Tunnistetaan, että tietoa on analysoitava ja arvioitava suhteessa sen tarkoitukseen, tuottajaan, ajankohtaisuuteen ja kontekstiin
Safe searching;Turvallinen tiedonhaku
Security;Turvallisuus
Security, password selection & protection;Turvallisuus, salasanojen valinta & suojaaminen
Security, accuracy & plagiarism;Turvallisuus, virheettömyys & plagiointi
Security technology;Turvallisuustekniikka
Security Administrator;Turvallisuusvastaava
Present work effectively;Työn tehokas esittäminen
New technologies & tools;Uudet tekniikat & välineet
Latest digital products;Uusimmat digitaalituotteet
Newsletter, poster, flyer production;Uutiskirjeen, julisteen, flaijerin tuottaminen
Malicious code;Vahingolliset ohjelmat
Media;Välineet
Network;Verkko
Online identity;Verkkoidentiteetti
Creating websites;Verkkosivujen luonti
Uploading websites;Verkkosivujen siirto palvelimelle (upload)
Website design features;Verkkosivusuunnittelun piirteet
Website;Verkkosivut
Web development;Verkon kehittäminen
Web technologies;Verkon teknologiat
Video;Video
Video & audio;Video & audio
Video conferencing;Videoneuvottelu
Video recorders;Videotallentimet
Communicative competence;Viestinnällinen kompetenssi
Communication;Viestintä
Communications & entertainment;Viestintä & viihde
Communications issues;Viestintäkysymykset
Communication Environments;Viestintäympäristöt
Virtual reality;Virtuaalitodellisuus
Virus;Virukset
Anti-Virus Program;Virustorjuntaohjelma
Interactive material;Vuorovaikutteinen aineisto
Interactive digital display design;Vuorovaikutteisen digitaalinäytön suunnittelu
Web 2.0;Web 2.0
Web 2.0 tools;Web 2.0 -työkalut
Wide Area Information Servers (WAIS);Wide Area Information Servers (WAIS)
Interoperabiloty;Yhteentoimivuus
Collaboration;Yhteistyö
Simple networking;Yksinkertaiset verkot
Privacy and personal information;Yksityisyys ja henkilötiedot
Understanding of audience;Yleisön ymmärtäminen

